"module","status","seconds"
"TimeAndSales.test","PASS","<=30"
"CvdCalculator.test","PASS","<=30"
"AbsorptionDetector.test","PASS","<=30"
"OrderbookManager.test","PASS","<=30"
"OrderbookDeterminismP0.test","PASS","<=30"
"OpenInterestMonitor.test","PASS","<=30"
"FundingMonitor.test","PASS","<=30"
"SessionVwapTracker.test","PASS","<=30"
"BackfillCoordinator.test","PASS","<=30"
"HtfStructureMonitor.test","PASS","<=30"
"OrchestratorV1.test","PASS","<=30"
"Latency.test","PASS","<=30"
"SequenceRule.test","PASS","<=30"
"ReconnectContinuity.test","FAIL(1)","<=30"
"LegacyCalculator.test","PASS","<=30"
"Gate.test","PASS","<=30"
"FreezeEmergencyPolicy.test","PASS","<=30"
"ProfitLock.test","PASS","<=30"
"OrderPlan.test","PASS","<=30"
"DryRunEngine.test","PASS","<=30"
"DryRunSessionService.test","TIMEOUT","30"
"Normalization.test","PASS","<=30"
"RegimeSelector.test","PASS","<=30"
"StrategyHysteresis.test","PASS","<=30"
"HardReversal.test","PASS","<=30"
"MarketImpactSimulator.test","PASS","<=30"
"OrderbookIntegrityMonitor.test","PASS","<=30"
"DryRunClock.test","PASS","<=30"
"FreezeController.test","PASS","<=30"
"PositionSizer.test","PASS","<=30"
"ResiliencePatches.test","PASS","<=30"
"StrategyApiConsensus.test","PASS","<=30"
"AnalyticsEngineMetrics.test","PASS","<=30"
"TelemetryApi.test","PASS","<=30"
"AnalyticsApiFallback.test","PASS","<=30"
